Source	Target
1	808
808	867
715	808
51	808
308	808
808	870
764	808
440	808
627	808
2	48
2	558
165	2
2	392
2	393
2	473
48	55
1	747
15	747
747	840
747	986
546	747
747	892
538	747
108	747
747	877
0	709
709	874
709	804
709	966
1	501
228	501
434	501
501	560
32	8
32	713
136	32
32	827
3	865
158	3
13	3
3	919
146	3
768	8
652	768
617	768
102	768
374	768
216	768
648	7
648	660
576	648
578	648
200	648
526	648
330	648
621	648
723	752
4	752
752	853
449	752
710	752
638	752
596	752
752	995
558	620
558	949
229	558
411	558
128	558
558	736
558	758
558	929
165	65
165	677
165	864
165	261
197	392
392	784
392	761
392	800
4	513
350	513
513	544
513	565
337	513
158	723
5	723
30	723
202	723
296	723
526	723
235	5
15	235
235	452
235	344
235	789
235	573
5	851
722	851
62	851
851	975
638	851
485	865
865	984
672	865
841	865
278	865
463	865
260	6
260	860
260	637
260	79
152	260
260	338
260	941
260	432
7	987
27	987
289	987
306	987
663	987
782	8
304	782
470	782
16	9
182	9
225	9
9	963
778	9
16	879
16	880
16	322
16	623
182	811
182	274
182	869
146	225
225	938
225	31
225	405
158	344
158	986
158	617
158	360
158	353
13	984
13	207
13	634
4	651
4	963
4	792
415	6
272	6
357	6
393	494
393	843
393	923
341	8
411	651
381	651
224	651
730	919
780	919
474	919
403	919
400	919
771	919
767	919
179	963
955	963
60	963
546	963
70	963
608	963
160	963
830	963
686	963
203	963
341	872
341	666
341	649
341	876
146	719
146	641
146	320
146	283
146	749
146	480
145	146
792	891
717	792
728	792
17	415
415	72
202	415
190	415
415	751
415	930
376	415
272	395
357	938
357	749
357	496
261	357
208	357
198	357
223	357
357	571
357	510
168	7
168	891
168	312
168	736
168	591
626	7
7	713
473	762
123	473
305	473
458	473
301	473
132	626
626	829
626	993
626	922
713	997
49	713
713	78
713	811
396	713
616	713
17	485
17	529
17	606
17	620
17	660
17	83
17	785
427	485
485	947
211	485
12	72
72	866
237	72
72	934
361	72
545	72
670	72
478	72
72	741
416	72
215	72
529	880
529	77
529	542
529	85
529	849
529	857
15	356
356	984
20	356
21	356
204	356
356	41
356	85
356	615
10	944
556	944
26	944
497	944
385	944
280	944
336	944
944	989
15	167
15	322
39	984
839	984
276	984
960	984
196	984
261	984
205	984
570	984
14	35
199	35
35	726
35	927
35	632
12	89
383	89
218	89
700	89
232	89
231	89
14	343
14	997
14	999
425	879
229	879
214	879
475	879
170	879
710	879
616	879
879	969
661	879
446	879
606	62
109	606
606	848
264	606
12	309
12	144
12	687
12	453
12	943
12	866
413	620
604	620
620	627
334	660
335	660
660	90
118	660
461	660
660	857
638	660
440	660
167	556
167	172
167	766
309	43
309	681
11	275
11	291
11	860
11	837
186	275
275	458
223	275
142	144
144	197
144	770
144	206
144	647
57	880
323	880
316	880
799	880
816	880
873	880
174	83
561	83
63	83
509	83
207	553
207	619
207	934
207	287
291	671
291	770
290	291
291	385
291	565
291	732
322	687
523	687
687	690
364	687
337	687
550	634
324	634
634	843
343	43
343	475
324	343
343	757
343	567
10	956
10	227
45	860
724	860
694	997
67	997
62	997
154	997
932	997
106	997
837	999
173	999
591	999
453	527
453	656
252	453
250	943
811	943
467	943
644	943
322	388
322	809
322	421
322	604
66	837
483	837
837	897
837	848
70	956
115	956
301	956
227	568
183	227
227	239
227	313
227	795
227	954
203	227
778	928
541	778
232	778
492	778
778	952
385	778
365	778
712	778
773	778
866	885
835	866
697	866
474	866
277	866
177	866
623	658
623	950
623	68
623	664
623	811
623	797
19	791
364	791
703	791
20	66
497	66
66	885
60	66
150	66
155	66
21	733
733	986
733	886
20	349
315	349
349	71
349	635
349	981
349	496
349	897
349	795
299	349
349	621
21	794
382	794
783	794
543	794
20	512
467	512
512	776
311	512
512	597
21	867
840	867
497	867
561	867
22	788
388	788
788	830
432	788
788	917
281	788
703	788
18	535
29	535
535	636
425	535
224	535
136	19
19	73
136	37
136	590
136	828
136	99
21	241
241	737
241	379
241	270
241	376
241	442
22	936
22	734
22	609
22	625
22	228
22	556
22	312
22	57
21	891
763	891
379	891
100	891
18	564
47	564
564	787
52	936
351	936
21	69
69	962
650	69
363	69
524	69
137	23
23	781
23	965
20	518
20	785
137	846
137	907
137	252
734	800
734	926
312	781
130	781
156	781
201	781
613	781
21	961
31	961
737	961
206	961
499	961
889	961
609	637
609	902
586	609
625	827
230	625
321	625
361	625
625	853
625	744
625	680
365	625
515	625
625	988
18	452
257	452
292	452
101	452
452	633
432	452
21	928
183	928
74	928
138	928
646	928
270	928
619	965
807	965
489	965
85	965
952	965
510	965
904	965
263	518
487	518
417	518
518	910
518	862
418	518
21	380
380	441
135	380
380	991
380	644
380	970
18	334
140	18
689	73
253	73
267	73
635	73
73	838
21	715
541	785
462	785
52	785
243	785
785	915
469	785
438	785
785	862
334	979
334	79
334	75
